key,en,hu
HOME.TITLE,Success Made Clear and Structured,A siker világosan és strukturáltan
HOME.SUBTITLE,Discover how to become a successful Fireflies leader.,"Tudd meg, hogyan válhatsz sikeres Fireflies vezetővé."
